accession,proteinClass
Q5T9Z0,None
O95932,Enzyme
P05543,None
Q8NA92,TF
Q96EK4,TF
P24752,Enzyme
Q86YJ6,Enzyme
P00734,Enzyme
P35590,Kinase
Q9BTF0,None
Q495A1,None
Q9BQ16,None
P16035,Enzyme
A0A075B6Y3,None
Q9H808,None
A0A1W2PR48,None
A0PJX2,None
Q07352,None
Q4W5P6,None
Q8N614,None
A6NGA9,None
Q8NBT3,None
A6NM43,None
Q9Y4C2,Enzyme
Q8N7M0,None
Q8WWU5,None
P78371,None
Q8TDR4,None
P50991,None
Q99832,None
Q9Y2W6,Epigenetic
Q969V4,None
Q8N8B7,None
Q8NA31,TF
Q96S53,Kinase
Q96PF1,Enzyme
H3BV60,None
Q14186,TF
Q9UP52,Enzyme
P01137,None
O15537,None
Q01085,None
Q6ZNK6,None
Q99727,Enzyme
Q9BSI4,None
Q9H0I9,Enzyme
Q3LXA3,Enzyme
Q9BXR5,None
Q92844,None
Q6NXT6,None
Q9BQE3,None
P10636,None
A6NNZ2,None
P0DPH8,None
Q6PEY2,None
Q96M53,None
P68371,None
O43314,Enzyme
Q12788,None
A0A087WVF3,None
Q6DHY5,None
A0A087X1G2,None
O60907,None
Q7RTU1,TF
Q96SF7,TF
Q8WW35,None
Q8IZS6,None
P49368,None
O95988,None
Q5VWI1,None
Q99594,TF
P24821,None
Q8IZJ6,Enzyme
Q96EI5,None
Q15185,Enzyme
Q9H0W7,TF
Q13769,None
Q9UPZ6,None
Q8NI27,None
Q96J01,None
Q6ZMP0,None
Q9NXG2,None
P01266,None
Q8IVF5,None
Q92563,None
Q7Z2Z1,None
P20226,None
Q13428,None
P53999,TF
Q9UIF3,None
Q92752,None
Q9NT68,None
Q9Y6M0,Enzyme
P22105,None
Q99973,Enzyme
P19484,TF
P01135,None
O43493,None
O43294,None
Q15583,TF
Q8IYQ7,Enzyme
Q5TEJ8,None
Q86W42,None
Q6I9Y2,None
Q9BV44,None
P31483,None
O95411,None
Q13263,Epigenetic
Q17RP2,None
P49788,Enzyme
A8MVX0,None
Q8N4G2,Enzyme
Q9BZP6,Enzyme
O15013,None
Q9P2M7,None
Q9NPC3,Enzyme
Q8TCG1,None
A6NK59,None
Q7L266,Enzyme
P07306,None
Q96FT7,IC
Q9NY37,IC
Q8N5K1,None
Q9H8K7,None
O14525,None
O60312,Transporter
Q3KR37,None
P54707,Transporter
Q76L83,Epigenetic
P51788,IC
P16615,Transporter
Q8TF62,Transporter
P56746,None
P56750,None
O95832,None
Q5T6C5,None
C9JDP6,None
Q8TBG4,Enzyme
Q9NTI2,Transporter
O14493,None
P98198,Transporter
O95471,None
O95484,None
Q9NY35,None
Q8NHS1,None
Q9Y2D1,TF
Q9H0Y0,None
Q96BY7,None
Q9NZA1,IC
Q8N3C7,None
Q8WYN0,Enzyme
Q9Y4P1,Enzyme
Q5K131,None
Q96DT6,Enzyme
Q9H1Y0,None
Q6UXZ3,None
A8K4G0,None
Q6UXG3,None
O75503,None
Q9NWW5,None
Q7Z7G1,None
Q9BSB4,None
O15516,TF; Epigenetic
Q86TH1,None
P82987,None
Q6DD88,None
O43313,None
Q13315,Kinase
P54259,None
P54710,Enzyme
Q96SQ7,TF
O00244,None
P56385,Enzyme
P18859,Enzyme
O75964,Enzyme
P56381,Enzyme
Q99766,Enzyme
P35670,Enzyme
O75110,Transporter
P07741,Enzyme
Q92482,None
P02654,None
O43315,None
Q8N726,None
A6NKF2,TF
Q4LE39,TF; Epigenetic
Q96BM9,Enzyme
Q8N1N0,None
Q9UJ71,None
Q6EIG7,None
Q2TB18,None
Q9UQC9,IC
P09496,None
Q8IYS0,None
Q8IXJ9,Epigenetic
P14415,Transporter
P51801,IC
P50993,Transporter
O14983,Transporter
P51790,IC
Q5VTU8,Enzyme
P24539,Enzyme
P51797,IC
P51798,IC
P20020,Transporter
Q06055,Enzyme
P23634,Transporter
Q8N6F1,None
P98194,Transporter
Q8N7P3,None
A6NM45,None
Q9Y2Q0,Transporter
O15551,None
O00501,None
P56747,None
P18847,TF
P53675,None
P30622,None
Q9UDT6,None
Q96DZ5,None
Q9NT62,None
P49761,Kinase
Q8TDQ1,None
Q86TL0,Enzyme
Q9H6B4,None
Q674R7,None
Q7Z3C6,None
Q9UII2,Enzyme
Q96KA5,None
Q6ZMM2,None
Q92989,Enzyme
Q8WXF7,None
Q8NHH9,None
Q9H078,Enzyme
Q92858,TF
Q9Y6H3,Enzyme
O75947,Enzyme
Q04656,Enzyme
O76031,Enzyme
Q92624,None
P02655,None
Q9UJX5,Enzyme
Q92870,None
P02649,None
Q8IXF9,None
P84085,Enzyme
Q8IW93,None
Q96DR7,None
Q9H0F7,Enzyme
Q12774,None
O95154,Enzyme
Q96B67,None
Q99828,None
Q7Z6K5,None
Q9Y294,None
P07307,None
P42127,None
Q9UBL3,Enzyme
Q9UHC3,IC
Q9NWL6,Enzyme
Q8IZT6,None
P0C842,None
Q5SWW7,None
Q8NBR9,None
Q86VG3,None
A6NJI1,None
Q6NUJ2,None
C9JLR9,TF
Q7Z7L8,None
Q7Z7J9,Enzyme
Q96S95,Enzyme
Q96SZ6,None
Q96SN8,None
Q14008,None
Q8TAZ6,None
Q96FZ5,None
Q8IZV2,None
Q9UBR5,None
Q9NQ89,None
Q96LM1,None
Q86WS4,None
Q96LP6,None
Q8N5I9,None
Q6X4T0,None
Q8IXR9,None
Q9H3J6,Enzyme
Q96MD2,None
Q32Q52,None
Q8N812,None
G3V211,None
Q5QGZ9,None
Q2HXU8,None
Q8NCF0,None
Q6UXS0,None
O75122,None
Q8N2M8,None
P28329,Enzyme
Q86T13,None
Q8NC01,None
Q9UHP7,None
P0C7M8,None
Q8WXI8,None
Q9ULY5,None
Q6UXB4,None
Q9NY25,None
Q9BXN2,None
A8K7I4,IC
Q9Y284,None
Q6HA08,Enzyme
P09497,None
Q96CP6,None
Q96S66,IC
P51800,IC
Q9C0F0,Epigenetic
P54709,Transporter
O60423,Transporter
O75508,None
P56749,None
O95500,None
Q5TC04,None
Q9ULK2,None
P56880,None
Q5SQI0,Epigenetic
O75143,None
Q5T9A4,Enzyme
Q5T2N8,Enzyme
P18848,TF
P18850,TF
P17544,TF
O14967,None
O95833,IC
Q9Y696,IC
Q96NY7,IC
P49759,Kinase
P49760,Kinase
Q9HAZ1,Kinase
Q496F6,None
Q08708,None
Q9UGN4,None
Q96JQ2,None
Q8N6G6,None
Q6UY14,None
Q8N100,TF
Q6IWH7,None
Q9HCE9,None
O60678,Epigenetic
Q99767,None
O96018,None
P02652,None
Q7Z2E3,None
Q13520,None
Q9Y3E7,None
Q9P2E5,Enzyme
Q9NRG0,None
Q9NR48,Epigenetic
P78348,IC
Q16515,IC
P17405,Enzyme
Q86X95,None
Q14011,None
Q9NZ45,None
P08243,Enzyme
Q9NSE2,None
O75390,Enzyme
Q5U4P2,Enzyme
Q6ICH7,Enzyme
P26436,None
Q9BXN1,None
Q9ULV3,None
Q8IYJ2,None
Q8WW14,None
Q96M02,None
Q8TEF2,None
Q8N326,None
Q5SQS8,None
Q8N4M7,None
B7Z368,None
A0A1B0GUT2,None
Q96F05,None
Q9H6J7,None
Q8NCR3,None
P00966,Enzyme
C9JXX5,None
E9PRG8,None
Q8WWK9,None
Q07065,None
P0DPE3,None
Q2KHT3,None
Q6ZS10,None
Q6ZU45,None
P16619,None
Q9P126,None
O75596,None
Q9UMR7,None
Q8WTT0,None
Q9H2X3,None
Q6UXN8,None
Q9Y6N3,IC
Q14CN2,IC
Q8WWH4,None
O75129,None
Q9P241,Transporter
P98196,Transporter
L0R819,None
Q9HD20,Transporter
Q4VNC1,Transporter
Q9UN42,Transporter
P13637,Transporter
P05496,Enzyme
P05026,Transporter
P0DMR3,None
Q01814,Transporter
Q9Y5I7,None
Q96QE3,Enzyme
O75185,Transporter
P57739,None
H7C241,None
P18846,TF
Q86WG3,None
P56748,None
Q9ULI0,Epigenetic
Q9NVI7,Enzyme
O94817,None
O95260,Enzyme
Q13795,Enzyme
Q9NZN5,None
O95376,Enzyme
Q99856,TF
P29374,TF; Epigenetic
Q8N8L6,Enzyme
Q8IZ52,Enzyme
O43916,Enzyme
Q9GZX3,Enzyme
Q9NPF2,Enzyme
Q86WX3,None
Q9NZ32,None
P56211,None
P61158,None
Q5W0N0,None
O15144,None
A6NEK1,None
P49407,None
Q8N365,None
P32121,None
P15848,Enzyme
P36575,None
Q96RK0,TF
P51689,Enzyme
P54793,Enzyme
Q96EG1,Enzyme
Q5FYB0,Enzyme
Q6UWY0,Enzyme
O43734,None
Q8IUL8,None
P0C7U1,Enzyme
Q9NR71,Enzyme
Q8WWX0,None
Q9NWX5,None
Q495Z4,None
Q8N9N2,None
Q8WXH4,None
Q99929,TF
Q7RTU5,None
Q8WXK1,None
Q96NS5,None
Q8WXJ9,None
Q6ZVZ8,None
Q9NVP2,None
Q9BVC5,None
Q92484,Enzyme
Q92485,Enzyme
O95671,Enzyme
P46597,Enzyme
O43681,Enzyme
P0C7P0,None
Q9BZE9,None
A6ND91,Enzyme
P20933,Enzyme
Q96KQ4,None
Q13625,None
Q12797,Enzyme
Q99966,None
Q99967,None
Q96RK1,None
Q5T742,None
A4QN01,None
Q8N6V4,None
Q5T681,None
Q8N1V8,None
Q5T1B1,None
Q9H7T3,None
Q5VZT2,None
Q9H5F2,None
Q9NQ32,None
Q9P2W6,None
Q96N53,None
Q8WZ69,None
Q8N5U0,None
Q8N8P7,None
Q8TAV5,None
Q96A22,None
Q8IXP5,None
Q9H0W9,Enzyme
Q9H3H3,None
Q6IPW1,None
Q6PI97,None
Q3C1V1,None
A0A1B0GVM6,None
Q96JB5,None
Q8IZ96,None
Q96MX0,None
Q8IZR5,None
Q96DZ9,None
Q9NX76,None
Q8N999,None
Q8N6U2,None
Q495D7,None
Q9H741,None
Q8NA57,None
Q5U649,None
Q8N7H1,None
Q96M19,None
A8MTZ7,None
Q69YU5,None
C9JDV5,None
A5D8T8,None
Q6UXF7,None
Q7Z460,None
Q96F83,None
Q8IUN9,None
Q9Y240,None
Q6UVW9,None
Q92478,None
Q8TER5,None
Q96CF2,None
Q9H2X0,None
Q86X52,Enzyme
Q70JA7,Enzyme
Q9Y4C5,Enzyme
Q7LGC8,Enzyme
Q8NCG5,Enzyme
O43529,Enzyme
Q8NCH0,Enzyme
Q9Y3Y2,None
Q9UBL0,None
P0C843,None
Q9BUW7,None
P61160,None
Q8TAL5,None
Q9H9F9,None
Q8N4C0,None
Q9GZN1,None
Q8WZB0,None
Q5VYM1,None
Q9H981,None
Q5JTZ5,None
Q5TBE3,None
Q9H5X1,None
Q9Y3D0,None
Q8N5I2,None
O76071,None
Q8NCT1,None
Q9H6Q4,None
P10523,None
O15145,None
P59998,None
O15511,None
Q5FYB1,Enzyme
Q5T4W7,None
Q9UHD4,None
O00192,None
Q96QS3,TF
Q9Y575,None
Q9ULH1,None
Q9H672,None
Q9H765,None
Q8TDY4,None
Q8WXK4,None
Q8WXK3,None
Q9Y5C1,None
A6NL99,None
P05089,Enzyme
P56559,Enzyme
Q92974,None
Q9NVJ2,Enzyme
Q14155,None
Q9H2A9,Enzyme
Q7L1S5,Enzyme
Q9NRB3,Enzyme
Q7LFX5,Enzyme
Q8WUH1,None
Q96MD7,None
A6NGG3,None
Q8NAJ2,None
Q5BN46,None
A6NHY6,None
Q5T035,None
Q5VTT2,None
Q6ZV77,None
Q8N9P6,None
A2RU37,None
Q9Y375,None
Q8TBH0,None
P15289,Enzyme
O75838,None
Q96Q77,None
A0PJX0,None
P51690,Enzyme
Q5FYA8,Enzyme
O60543,None
Q9H2C2,None
Q96AQ7,None
Q9HBK9,Enzyme
O75339,None
P18440,Enzyme
P11245,Enzyme
Q13510,Enzyme
Q9Y574,None
O43150,None
Q96DX5,None
Q8WXI3,None
Q9H1I8,None
Q8N3C0,None
P50553,TF
Q9NQ33,TF
Q6XD76,TF
Q9ULZ3,None
Q9BW66,Enzyme
Q15642,None
Q9Y576,None
Q9C0C6,None
Q96Q27,None
O95996,None
Q8IW19,None
O00203,None
O14727,Enzyme
P06727,None
Q13794,None
Q8N6S5,None
Q8IWT0,Enzyme
P25098,Kinase
Q7LC44,None
P62330,Enzyme
P18085,Enzyme
A6NJG6,TF
Q9HCE6,None
Q9NXL2,None
P06276,Enzyme
Q9UHD1,None
Q9Y2V2,TF
Q9GZS9,Enzyme
Q9NS84,Enzyme
Q8NET6,Enzyme
Q9P1U1,None
Q9C0K3,None
Q9P2X8,None
Q9H2J1,None
Q8IXQ3,None
Q6ZRZ4,None
Q5SZB4,None
Q5T8R8,None
Q96LT7,None
Q9BPX5,None
B1AMM8,None
Q5T280,Enzyme
Q92747,None
A5YM69,None
Q8IVW6,TF
Q969Q4,Enzyme
P36405,Enzyme
Q8NEN0,None
P0C7Q2,None
P52757,None
Q9P291,None
Q7L311,None
Q6PIY5,None
H3BNL8,None
Q9HBZ2,TF
P49703,Enzyme
Q7Z628,None
Q0P5N6,Enzyme
Q8IVW1,Enzyme
Q6NXE6,None
Q7L4S7,None
P27540,TF
Q8WUD6,Enzyme
P02728,None
P10071,TF
Q9UKD1,TF
P60983,None
Q96IJ6,Enzyme
Q9P107,None
Q9P2T1,Enzyme
O95837,None
P08754,None
P63092,None
P50148,None
P19087,None
Q9NVN8,None
Q96T52,Enzyme
Q96G21,None
O15228,Enzyme
P46926,Enzyme
Q8TDQ7,Enzyme
Q3T906,Enzyme
Q9UJJ9,Enzyme
Q9NX62,Enzyme
Q96P88,GPCR
Q9P2X3,None
Q08AF8,None
P0CJ92,None
A6NC78,None
A6NMD2,None
F8WBI6,None
I6L899,None
H3BQL2,None
Q8TBA6,None
Q9GZP8,None
Q6PI98,None
Q9BXV9,None
C9JVW0,None
P0DMQ5,None
P48551,None
Q5T7V8,None
Q0VD86,None
Q6DWJ6,GPCR
Q7Z601,GPCR
Q96CH1,GPCR
Q9NS66,GPCR
Q9BXC1,GPCR
P08476,None
Q8TDT2,GPCR
Q6PRD1,GPCR
Q7Z3F1,None
Q8NFN8,GPCR
P09529,None
Q5T848,GPCR
Q9UJ42,GPCR
Q8N6U8,GPCR
O43292,None
Q9ULG1,Enzyme
Q9NQ84,GPCR
Q9NZD1,GPCR
Q96PE3,Enzyme
Q9Y625,None
Q8TDU6,GPCR
Q75QN2,None
B7ZAQ6,IC
P51674,None
Q9Y283,None
A6NMK8,None
O00410,None
P41236,Enzyme
Q9UBQ7,Enzyme
Q9NZI5,TF
P48058,IC
Q9ULK0,IC
O43424,IC
Q13255,GPCR
Q15306,TF
A6NK06,Enzyme
Q9NZN1,None
Q9NP60,None
P35568,None
Q9Y4H2,None
O14654,None
P78414,TF
Q9BZI1,TF
P78415,TF
P78413,TF
P78411,TF
P78412,TF
Q96QA5,None
Q14565,None
Q9NPF5,Enzyme
Q19T08,None
Q9BQ95,None
Q008S8,None
Q9H8V3,None
P48728,Enzyme
Q8WWZ3,None
Q9UNE0,None
Q92838,None
Q96F86,None
Q92611,Enzyme
P05305,None
P25101,GPCR
P24530,GPCR
P68104,None
P33402,Enzyme
Q02153,Enzyme
Q5VTE0,None
Q8TB36,None
P24534,None
P16260,Transporter
Q99988,None
P26641,None
O00418,Kinase
P27539,None
Q9NR23,None
A6NFE3,None
O75071,None
Q8N7B9,None
A8MWE9,None
A8MZ26,None
O60383,None
P31150,None
P50395,None
Q99819,None
P39905,None
Q9HCC8,Enzyme
Q7L5L3,Enzyme
Q6W3E5,Enzyme
Q8WTR4,Enzyme
Q6ZNW5,Enzyme
P52306,Enzyme
Q8N7U6,None
Q5JVL4,None
A6NCL1,None
Q5JPI9,Enzyme
Q9H840,None
P0DPD7,None
P20827,Kinase
O43921,None
P52797,None
P52798,None
Q7L5D6,None
P14136,None
Q5VTD9,TF
Q9NXC2,Enzyme
Q2KHT4,None
P48507,Enzyme
P08263,Enzyme
Q9Y6J6,IC
Q9P0R6,None
Q9Y6H6,IC
Q9UIX4,IC
Q4AE62,Enzyme
O95528,Transporter
Q86UQ5,None
Q9UQ05,IC
Q9NS40,IC
P48549,IC
Q15842,IC
Q92806,IC
O95843,Enzyme
Q6ZWJ8,None
P12277,Kinase
P06732,Kinase
Q8N442,None
Q96NT3,None
Q8NC54,None
Q3ZCU0,None
P54840,Enzyme
Q9H116,TF
Q75WM6,None
Q7L7L0,None
P04908,None
Q6FI13,None
Q8IUE6,None
P0C5Z0,None
Q16778,None
Q68CZ6,None
O94927,None
Q96MM7,Enzyme
Q5JVS0,None
B0YJ81,Enzyme
P02100,None
Q8IYU2,Enzyme
Q9Y450,None
P49019,GPCR
O00142,Kinase
P14317,None
O60741,IC
Q9UL51,IC
Q07866,None
Q969S8,Epigenetic
Q96G42,None
Q9BY41,Epigenetic
Q8N7A1,None
Q7Z4V5,Epigenetic
Q13118,TF
Q08623,Enzyme
Q8TD94,TF
Q9BXK1,TF
Q9Y5W3,TF
A8MVW5,None
Q14CZ8,None
Q9UQL6,Epigenetic
Q9H583,None
Q7Z4Q2,None
Q8NG08,Enzyme
Q8NB37,Enzyme
Q4V326,None
Q13065,None
Q13070,None
Q6PIY7,Enzyme
P04062,Enzyme
P0CG08,IC
Q14653,TF
P09210,Enzyme
Q8TDB8,Transporter
Q9NYZ3,Enzyme
Q96L42,IC
Q9NYG8,IC
Q9Y2U2,IC
P16402,None
P10412,None
P16401,None
P16403,None
Q4G0G2,None
Q53T59,None
Q8IZA3,None
Q96QV6,None
Q6PII5,Enzyme
Q8IZP7,Enzyme
Q96CS2,None
Q6Y1H2,Enzyme
P68871,None
Q5VWC8,Enzyme
Q99075,None
Q6B0K9,None
Q9BXC0,GPCR
Q6ZMI3,None
Q92990,None
Q92643,Enzyme
P14770,None
P49895,Enzyme
Q92813,Enzyme
O94829,None
Q16099,IC
Q16478,IC
Q7Z2K8,None
O60269,None
A4D1Z8,None
Q9Y3R0,None
P39086,IC
Q9H2U2,Enzyme
Q8IUY3,None
P43250,Kinase
Q8WTQ7,Kinase
P0CAP2,Enzyme
Q9BUE6,None
P56915,TF
P49841,Kinase
O15217,Enzyme
Q8IYK4,Enzyme
Q9ULD8,IC
Q969Y2,Enzyme
Q8WW33,None
O95069,IC
O14649,IC
O95279,IC
O15554,IC
O43526,IC
Q9UMX6,Enzyme
Q9Y2T3,Enzyme
Q53RY4,None
P43080,Enzyme
P0C0S8,None
Q9P0M6,None
Q96KK5,None
Q99878,None
Q86VQ1,None
Q04446,Enzyme
Q8IW92,Enzyme
Q8IVS8,Kinase
P48060,None
P0CG29,Enzyme
Q7RTV2,Enzyme
A0A1W2PR19,None
Q9H4S2,TF
Q9H4Y5,Enzyme
Q9UHL9,TF
O95259,IC
Q9UGQ3,Transporter
Q6PXP3,Transporter
O00178,None
Q9H1H1,None
Q9H252,IC
Q9Y257,IC
Q9HB15,IC
Q7Z418,IC
P51787,IC
Q02846,Kinase
Q14681,None
Q8WVF5,None
Q96MP8,None
Q6ZWB6,None
Q7Z2Y8,Enzyme
P30085,Kinase
P07305,None
Q02539,None
O14756,Enzyme
Q8N371,Epigenetic
Q71UI9,None
Q6DN03,None
Q6DRA6,None
O75367,None
Q15726,None
Q96MB7,Enzyme
P15104,Enzyme
O15397,None
Q96P70,None
Q6NXS1,Enzyme
O14990,Enzyme
Q96PQ5,Enzyme
Q9H8X2,Enzyme
Q9Y573,None
Q8IWB1,None
P42262,IC
P42263,IC
Q13002,IC
P32298,Kinase
Q13003,IC
Q14416,GPCR
Q14833,GPCR
P41594,GPCR
Q15181,Enzyme
Q14831,GPCR
O00222,GPCR
Q4G1C9,None
P30550,GPCR
Q92985,TF
Q02556,TF
Q00978,TF
A1A4Y4,Enzyme
Q8WZA9,Enzyme
Q9BYG8,None
Q86U28,None
P57764,None
O60443,None
Q14687,None
Q6UXU4,None
P49840,Kinase
Q9UK17,IC
Q03013,Enzyme
P46439,Enzyme
P0CG30,Enzyme
Q8WWG9,IC
Q8TAE7,IC
Q8TDN1,IC
A4D1E9,None
Q92952,IC
Q02747,None
Q16661,Enzyme
Q9H478,None
P51841,Kinase
P12532,Kinase
Q9NXV2,None
Q8NC69,None
Q8N7I0,None
A0A096LPI5,None
Q96GX5,Kinase
Q4G148,Enzyme
A0PJZ3,Enzyme
P13807,Enzyme
Q9UJ96,IC
P11166,Transporter
O43824,None
Q8NCM2,IC
P11168,Transporter
P22732,Transporter
Q9H427,IC
Q9UGI6,IC
Q93077,None
P20671,None
P16104,None
Q16777,None
Q9BTM1,None
Q5QNW6,None
P84243,None
P0DPK2,None
O60243,Enzyme
P08631,Kinase
P10721,Kinase
Q9Y3Q4,IC
A0A0A0MT89,None
Q16836,Enzyme
Q8N5S9,Kinase
P51610,None
Q8NEE0,None
Q8TBB5,None
Q8NEP7,None
Q9Y3E1,Epigenetic
Q9H0R4,Enzyme
Q9UIH9,TF
O15379,Epigenetic
P42858,None
Q13887,TF
P42694,Enzyme
P22557,Enzyme
Q8IZD2,Epigenetic
O76087,None
O60755,GPCR
Q9BWX5,TF
Q8WUU5,TF
O43716,Enzyme
Q8NEA6,TF
P10070,TF
P32189,Kinase
P47871,GPCR
P01275,None
Q6P9A2,Enzyme
P02729,None
O00505,None
A0A0U1RQE8,None
P46976,Enzyme
Q49A26,Epigenetic
Q8WU03,Enzyme
Q9Y692,TF
Q04609,Enzyme
Q6ZQN5,TF
O43559,None
Q68CZ1,None
P22083,Enzyme
Q9NXK8,None
Q11130,Enzyme
Q3SYB3,TF
Q9ULW2,GPCR
P58550,IC
O15117,None
O95479,None
Q9NQR9,Enzyme
P11413,Enzyme
O14556,Enzyme
P80404,Enzyme
Q10471,Enzyme
Q14697,Enzyme
Q8N292,None
Q9NY28,Enzyme
Q9HCQ5,Enzyme
Q16775,Enzyme
P23415,IC
Q86SX6,None
Q5JXX5,IC
A6NH11,None
Q7Z4T8,Enzyme
P14314,Enzyme
P52292,None
Q969I3,Enzyme
Q5SZD4,Enzyme
Q9Y5P6,Enzyme
Q99445,None
Q03113,None
P63096,None
P09471,None
O95467,None
Q8N0V5,Enzyme
Q08378,None
Q92805,None
Q5T6J7,Kinase
Q86XS8,Enzyme
P80217,None
Q9C086,None
Q8NBZ0,None
Q3T8J9,None
Q6ZVE7,None
Q3KP66,None
Q9H8Y8,None
Q9NPR9,None
Q8IX06,Enzyme
Q8IZ08,GPCR
Q16538,GPCR
P51810,GPCR
Q8TDV2,GPCR
O14626,GPCR
Q8NGU9,GPCR
Q6NV75,GPCR
Q86V85,None
O15218,GPCR
Q5UAW9,GPCR
Q6UWK7,None
Q96EL1,None
Q9NTI7,None
P55259,None
Q8IU57,None
O95050,Enzyme
Q8NBF1,TF
P08151,TF
A7E2F4,None
A8MQT2,None
A6NN73,None
Q0D2H9,None
H3BSY2,None
Q17R60,None
Q08379,None
Q7Z5G4,None
Q14789,None
O00461,None
P01148,None
Q8NBJ4,None
Q9H4A6,None
O43555,None
Q53TQ3,None
Q8NI35,None
O95249,None
P17181,None
O14653,None
Q9HD26,None
Q9Y3E0,None
Q9BQQ3,None
Q96P66,GPCR
Q5VW38,GPCR
Q9NQS7,None
Q8TDV5,GPCR
Q9UNW8,GPCR
P05111,None
Q7Z602,GPCR
Q86SP6,GPCR
Q8TDV0,GPCR
Q14439,GPCR
P32249,GPCR
P55103,None
P58166,None
P07359,None
P13224,None
Q9HCL2,Enzyme
Q6NUI2,Enzyme
Q8N158,None
Q53EU6,Enzyme
O75487,None
Q9NZH0,GPCR
Q86UL3,Enzyme
Q9HC44,None
Q8N335,Enzyme
P49441,Enzyme
Q1MX18,None
O15503,None
P21695,Enzyme
Q9Y5Q6,None
Q6ZSG2,None
P01308,None
Q5TA45,None
P43304,Enzyme
Q86YW7,None
P07476,None
Q92917,None
P55073,Enzyme
P61925,Enzyme
Q9Y2B9,Enzyme
Q8NFU5,Kinase
Q9UI26,None
Q8TEX9,None
O95373,None
Q06547,None
O95177,None
Q13480,None
Q99501,None
Q6ZQY3,Enzyme
P62683,None
Q9HDB9,None
O43603,GPCR
Q53GS7,None
O60565,None
Q4ZG55,None
Q9H772,None
Q8TE85,TF
P42261,IC
P05154,Enzyme
Q6ISB3,TF
Q6ZVF9,None
Q9C0E4,None
P34947,Kinase
Q96HH9,None
Q14832,GPCR
O15303,GPCR
P10914,TF
P14316,TF
Q13568,TF
O14896,TF
Q8TAX9,None
P48506,Enzyme
O15499,TF
P00390,Enzyme
P21266,Enzyme
P30711,Enzyme
Q92896,None
Q9UJ90,None
Q9H3M0,IC
Q12809,IC
Q8N3Z3,None
P48048,IC
P48544,IC
P49915,Enzyme
Q9NPC2,IC
P57789,IC
Q9HB14,IC
Q96T55,IC
Q9H2S1,IC
Q8WWB7,None
Q9NPH2,Enzyme
Q99795,None
Q8IXQ4,None
O95872,None
P35052,None
P51654,None
P78333,None
Q5T6X5,GPCR
Q9BT40,Enzyme
Q9Y581,None
Q96T92,TF
F8WCM5,None
Q9NVR2,None
Q96CB8,Epigenetic
Q9NVM9,None
Q96SY0,None
Q8N201,None
Q9H0H0,None
Q68E01,None
Q96HW7,None
Q6P9B9,None
Q9NVH2,None
Q9NV88,None
Q99527,GPCR
Q9ULD6,None
Q96T91,None
Q13491,None
Q9C010,Enzyme
P15382,IC
P78417,Enzyme
Q9Y2Q3,Enzyme
Q9BZM3,TF
P09488,Enzyme
P28161,Enzyme
P78347,TF
Q6EKJ0,TF
Q9Y223,Enzyme
Q7Z3D6,None
P14672,Transporter
P34896,Enzyme
A9QM74,None
Q14974,None
Q96IK5,None
Q8NEA9,None
P12268,Enzyme
O60234,None
Q96LU5,Enzyme
Q9BVP2,None
P22749,None
Q14749,Enzyme
Q12967,None
P15586,Enzyme
P29218,Enzyme
O14732,Enzyme
P30968,GPCR
Q9H2G9,None
Q9NYA3,None
A6NDN3,None
A6NDK9,None
P0CG33,None
Q2TAP0,None
D6RF30,None
A6NCC3,None
H3BV12,None
H3BPF8,None
Q13439,None
Q9BZV3,None
O15327,Enzyme
Q9NPB8,Enzyme
Q86WP2,None
Q9NRR6,Enzyme
Q9Y5U4,None
P51460,None
Q14641,None
Q01101,TF
P14616,Kinase
P06213,Kinase
Q2T9L4,None
Q5JSJ4,None
Q9UL03,None
O75311,IC
P48167,IC
Q86SR1,Enzyme
Q8NCW6,Enzyme
Q8IUC8,Enzyme
Q8N3T1,Enzyme
Q8N428,Enzyme
Q6IB77,Enzyme
O00629,None
P52294,None
O15131,None
O60684,None
P34897,Enzyme
O15488,Enzyme
O60547,Enzyme
P20839,Enzyme
P36959,Enzyme
P29992,None
Q14344,None
P04899,None
P30679,None
Q96EK6,Enzyme
P38405,None
Q5JWF2,None
P11488,None
A8MTJ3,None
P36915,None
P19086,None
Q9BYB4,None
O14775,None
Q9NV31,None
P25089,GPCR
Q16658,None
Q6IN97,None
Q14CM0,None
O95954,Enzyme
Q8N0W3,Kinase
Q9H0Q3,IC
O60478,None
O75293,None
Q8TET4,Enzyme
P23769,TF
O60861,None
Q9UBC7,None
P61952,None
Q9P2W3,None
P59768,None
Q9UK08,None
Q9H0R5,None
Q6ZN66,None
Q8N8V2,None
Q8WUF5,None
B1ANH7,None
P08833,None
P18065,None
P17936,None
P22692,None
P24593,None
P24592,None
Q16270,None
Q8WX77,None
Q9P2D0,Enzyme
P05155,Enzyme
Q8NDH6,None
Q05084,None
P20810,None
P05362,None
P13598,None
P32942,None
Q14773,None
Q9UMF0,None
O75899,GPCR
P62684,None
Q01415,Kinase
P63145,None
P41250,Enzyme
P50440,Enzyme
Q8NCI6,Enzyme
P01215,None
P43220,GPCR
O95838,GPCR
P06028,None
P04921,None
Q14410,Kinase
Q14409,Kinase
Q9H4A5,None
P02724,None
P15421,None
Q6ZS86,Kinase
P35754,None
Q9NS18,None
O76003,None
O94925,Enzyme
